CAN,"'', 'Québec', 'Canada'",2023-02-18,05:46 AM,Night,Low
CAN,"'Chatham', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Low
CAN,"'St. Clair', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Low
CAN,"'', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Low
CAN,"'Sarnia', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Low
CAN,"'Niagara Falls', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Low
CAN,"'Hamilton', 'Ontario', 'Canada'",2023-02-18,07:28 AM,Night,Medium
CAN,"'Area B Broman Lake/Sheraton', 'British Columbia', 'Canada'",2023-02-18,09:09 AM,Night,Low
CAN,"'Area B Broman Lake/Sheraton', 'British Columbia', 'Canada'",2023-02-18,10:47 AM,Night,Low
CAN,"'Area E Moberly Lake/Sukunka Valley', 'British Columbia', 'Canada'",2023-02-18,10:49 AM,Night,High
CAN,"'Area J Copper Desert Country', 'British Columbia', 'Canada'",2023-02-18,08:36 PM,Morning,High
USA,"'', 'Maryland', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'West Manchester Township', 'Pennsylvania', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Windsor Township', 'Pennsylvania', 'United States'",2023-02-18,07:28 AM,Night,Low
USA,"'', 'Ohio', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Potter Township', 'Pennsylvania', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Pennsylvania', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Indiana', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Illinois', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Cleveland', 'Ohio', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Gary', 'Indiana', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Iowa', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Michigan', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Nebraska', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Dearborn', 'Michigan', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'Detroit', 'Michigan', 'United States'",2023-02-18,07:28 AM,Night,Medium
USA,"'', 'Wisconsin', 'United States'",2023-02-18,07:28 AM,Night,Medium
